,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop
0,Wallows,Tell Me That It’s Over,I Don't Want to Talk,1JiaqVxC0ZKjazNSjjJsnk,0.461,0.908,7,-3.222,1,0.0768,1.4e-06,0.309,0.636,162.042,223533,4,0NIPkIjTV8mB795yEIiPYL,63.0,77.0
1,Wild Rivers,Sidelines,More or Less,212AgAhFl3RJZGAK0LrMpX,0.53,0.557,2,-8.989,1,0.0541,1.41e-05,0.0814,0.239,120.053,244667,4,59sBwR0jPSTrbMtuTkRPN5,48.0,66.0
2,The Greeting Committee,This Is It,Is This It?,3anjIXtZMdqKNi4iaNfKft,0.762,0.546,0,-7.562,1,0.0359,0.00285,0.0646,0.63,107.995,167107,4,1MIe1z4RdqLqHSJsb7EBMm,50.0,58.0
3,Maia Friedman,Under the New Light,First to Love,6EMkbomOfQMlE6s4i7n4nE,0.507,0.549,3,-8.511,1,0.0349,0.712,0.0988,0.386,140.041,278686,4,3SAdHKW3ICNgtyFgaWdC6c,32.0,40.0
4,Del Water Gap,Del Water Gap,Ode to a Conversation Stuck in Your Throat,51Lf3l6wx008NdBxCQnD6B,0.57,0.804,11,-6.782,1,0.0701,8.96e-05,0.187,0.624,87.533,199233,4,0xPoVNPnxIIUS1vrxAYV00,69.0,62.0
5,No-No Boy,1975,Imperial Twist,6ZmUCkycyUlh4wp1IHXF32,0.735,0.397,2,-11.469,1,0.0318,0.139,0.11,0.675,113.994,215587,4,37oH7lMYDNAY3eDDl7HozD,46.0,32.0
6,Bendigo Fletcher,Fits Of Laughter,Evergreen,0MzwKLv7SfUAim7yfsh8D8,0.237,0.658,4,-7.813,1,0.0335,3e-05,0.142,0.267,158.351,280827,4,6O8lpJl2nITlA3dJfT95pM,37.0,47.0
7,Good Morning,The Guy We Used To Know (Cover) b/w The Guy We Used To Know,The Guy We Used To Know,3nhWWABYxmtHwGShLTMfhy,0.395,0.165,1,-19.282,1,0.0341,0.000158,0.308,0.324,118.661,216851,4,2kMzxA8edU05hvMFU493zJ,35.0,62.0
8,The Felice Brothers,Jazz on the Autobahn,Jazz on the Autobahn,39FTmyyxXFvK7yXyyuW9ja,0.601,0.68,2,-7.683,1,0.0502,0.00752,0.201,0.819,113.256,272347,4,4Ajgo7nAsTzjSFymIfBjZ1,37.0,47.0
9,Night Shop,Hello Take Me Anywhere,Hello Take Me Anywhere,0iFLnj9aAlvYMOd0kLqFbr,0.614,0.716,9,-6.729,1,0.0316,0.0395,0.123,0.938,127.217,259625,4,6RxUAOiYiv2dIpiAsYBPJu,37.0,30.0
10,Low Cut Connie,Get out the Lotion,"Big Thighs, Nj",2ZqjkcgIoFmKiUnZCyltTz,0.54,0.661,11,-6.158,1,0.0308,0.577,0.141,0.494,140.335,193480,4,4taNHtYxfIWIHu07FBw7ih,44.0,43.0
11,Cut Worms,Nobody Lives Here Anymore,Sold My Soul,7C6hHmGVWw4SzewfvFU2Hc,0.466,0.433,2,-9.489,1,0.0304,2.58e-06,0.093,0.568,145.644,371977,4,2upjmNmngAXZcra9dQRR2l,51.0,46.0
12,Christian Leave,10 Steps,10 Steps,4U2GQlVHIerwX78jHpkOYN,0.248,0.837,7,-6.534,1,0.0515,0.00214,0.338,0.66,122.878,209132,4,2G8UkPZnQ8i78L8TfqP1X6,55.0,64.0
13,Jamws,Toronto,Toronto,7gM7OSSKozedhoigEvPaQ7,0.658,0.479,0,-8.048,1,0.0248,0.00509,0.124,0.626,86.504,253687,4,5Dzf0U33H8rPObc1WSjNTw,56.0,40.0
14,The Criticals,Mimosa Hygiene,Treat Ya Better,2t8RsUdWmOwd7cfH1XgTZX,0.783,0.636,5,-5.682,0,0.0332,0.000977,0.0477,0.818,104.973,195865,4,6ArhcOX0zzUe8GDzLTgBrK,49.0,37.0
15,Tex Crick,Live In... New York City,Sometimes I Forget,0YOYaUGcHYFTsqlmvcbrqZ,0.791,0.502,5,-9.134,1,0.049,0.828,0.166,0.514,111.036,266760,4,6tZLFWPPLQRWjRaDAhVYu0,45.0,33.0
16,okaywill,All My Love,All My Love,3AdiSOZxa72xdHN6sGvYeu,0.562,0.717,8,-6.523,1,0.0446,0.312,0.101,0.798,79.819,165000,4,79oW06N8yKp6hKp71ieN7L,41.0,38.0
