artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop
The Growlers,Try Hard Fool,Try Hard Fool,2HMTLM3uA0NsOU1IkNufSj,0.503,0.825,10,-5.786,1,0.0323,0.000411,0.144,0.421,125.825,190581,4,2RhgnQNC74QoBlaUvT4MEe,48.0,65.0
Mindchatter,Imaginary Audience,It's Been You,7e1dQ6se0Ordm8sNCdEkkn,0.767,0.427,0,-12.462,1,0.0674,0.776,0.113,0.688,102.036,193956,4,1He0ZKninbT4FMEV9hUZKn,50.0,53.0
Sports,Damn I'm Tired,Damn I'm Tired,3HyzMwZ7JHVp07a9YQnpWJ,0.541,0.73,2,-5.223,1,0.0301,0.0736,0.117,0.5,106.01,225732,4,4AGNJdJiVltImYk1UTLE0K,47.0,58.0
Subject,Worried for Nothing,Worried for Nothing,3QcWLlzSUFFWotRzxv6rbQ,0.523,0.706,4,-4.984,1,0.0341,1.71e-05,0.254,0.399,100.214,180338,4,6f07DRHqXu0b3Mu5QXBro1,39.0,24.0
Charlie Brand,Monsoons,Baby Blue Motorcycle,6d1vSCnS8uE8H59FDgEr7W,0.488,0.597,9,-7.166,0,0.031,0.39,0.14,0.493,122.753,246344,4,2vjPQjB03iwrMJvl3jFW6W,44.0,15.0
Blac Rabbit,Blac Rabbit,The Way the Wind Whips,4nf3NsPcr9Gy0qg9Fsiu4M,0.153,0.644,8,-8.528,1,0.0366,0.209,0.127,0.52,167.746,271429,4,0UvgR4VckgdEkBhTOjxwCc,37.0,37.0
Smushie,Complete Annihilation!,Complete Annihilation!,252brHktw7kGAdCCahQpW8,0.687,0.578,4,-10.483,1,0.0336,0.016,0.148,0.789,90.013,301265,4,0XGgpBKj7u2MMX2kqUVLaH,47.0,32.0
rogov,She's a Tangerine,She's a Tangerine,01MuDnWhgEFVVj5JhcOyNr,0.335,0.573,7,-8.869,1,0.0341,1.37e-05,0.0833,0.357,148.927,211204,4,3Q6t1nrrE1QGvPqCR45iIH,38.0,28.0
Self-Help,Adult Cartoons,Sick on a Saturday,6pn91D1O0EOA4QxOD92NB7,0.387,0.609,0,-12.551,1,0.0288,0.864,0.107,0.809,118.1,223852,4,6wI83RGyqZKQ6nJ3aKiLOz,42.0,28.0
Salvia Plath,The Bardo Story,This American Life,4vCVu9oq5lnmBbtpZL9CXR,0.455,0.386,10,-11.75,0,0.0306,0.00221,0.101,0.37,90.345,145267,4,4Ojq8WaaD3QA7dS8v9Ypf3,43.0,29.0
Mister Heavenly,Out of Love,Charlyne,0DES3wFg1uswVzfCt5kNNs,0.447,0.716,9,-7.646,1,0.0381,8.72e-05,0.101,0.597,181.39,145480,4,2HoWH2v3xB11oIAoQIWBBi,34.0,31.0
The Shivas,You Know What to Do,You Make Me Wanna Die,0b3FB8b2fXSDgHLGppFJUN,0.723,0.551,5,-4.446,1,0.0365,0.00449,0.186,0.964,112.166,170507,4,2OZfuhYQm8IY95egVPC1U9,54.0,42.0
