,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_id,track_pop,artist_pop
0,Spoon,They Want My Soul,New York Kiss,67F4DCkqJncqUajy0ixDtb,0.628,0.969,6,-2.867,0,0.0388,5.86e-05,0.217,0.534,132.002,206827,4,0K1q0nXQ8is36PzOKAMbNe,40.0,64.0
1,Portugal. The Man,The Satanic Satanist,People Say,0WTq8iUzSlGDAbowEdRKKD,0.543,0.768,0,-5.914,1,0.0288,6.72e-06,0.779,0.681,79.965,179360,4,4kI8Ie27vjvonwaB2ePh8T,59.0,70.0
2,Tessa Violet,YES MOM,YES MOM,3imd2WJDPDoIOyqDmw3plc,0.78,0.672,8,-4.398,1,0.0328,7.27e-05,0.125,0.541,97.054,162360,4,5DD5GZd4ElmQTy9NleMvKJ,74.0,64.0
3,Mystery Jets,Curve Of The Earth,Saturnine,5GGP2S487OmXSQ8Vp2sJHb,0.464,0.561,11,-5.808,1,0.0272,0.000507,0.152,0.307,115.047,381107,4,09K1H1DgyIXHsMx2j7KTFX,52.0,51.0
4,Unknown Mortal Orchestra,II,Swim and Sleep (Like a Shark),1UcgqK04vVmW8aXV2OxGiZ,0.766,0.806,8,-10.011,1,0.0403,0.171,0.119,0.76,123.51,165227,4,1LeVJ5GPeYDOVUjxx1y7Rp,62.0,67.0
5,Parsley Sound,Parsley Sounds,Twilight Mushrooms,5pVj2dABvA4WNxNQsSyQfP,0.505,0.521,0,-11.216,1,0.0295,0.361,0.22,0.318,90.336,349667,4,7MflKjtS3O6ygAaOxlFLGJ,37.0,31.0
6,The Orielles,Silver Dollar Moment,Sunflower Seeds,0SSoQF9K7X645Zhvk41cW3,0.34,0.672,9,-7.182,1,0.0459,0.0499,0.814,0.59,118.498,304093,4,5JWEBEt8VxHHxYKFmpzjwD,47.0,38.0
7,Still Woozy,Pool,Pool,1ZP4Qxb7USL3EezbxfpOVF,0.664,0.477,0,-10.53,1,0.0551,4.15e-05,0.136,0.273,100.046,223000,4,4iMO20EPodreIaEl8qW66y,72.0,74.0
8,Do Nothing,Handshakes,Handshakes,25lJGQuHWeFhYt7ffpF2xz,0.574,0.567,7,-10.513,1,0.0331,0.00543,0.0748,0.458,90.62,210251,4,73N7cGNNww6Uod1d3IiBKP,55.0,43.0
9,STRFKR,Miracle Mile,Kahlil Gibran,0PldjOTKRt45S9MrLnlwVM,0.676,0.641,9,-7.923,1,0.0296,0.262,0.119,0.352,84.97,241413,4,2Tz1DTzVJ5Gyh8ZwVr6ekU,62.0,63.0
